69.00000,2.00000,0.00000,0.0
68.98620,2.01153,0.00227,0.1
68.97232,2.02312,0.00456,0.2
68.95837,2.03477,0.00686,0.3
68.94434,2.04649,0.00917,0.4
68.93023,2.05828,0.01150,0.5
68.91604,2.07012,0.01383,0.6
68.90177,2.08204,0.01619,0.7
68.88743,2.09402,0.01855,0.8
68.87300,2.10606,0.02093,0.9
68.85850,2.11818,0.02333,1.0
68.84391,2.13035,0.02573,1.1
68.82925,2.14260,0.02815,1.2
68.81450,2.15491,0.03059,1.3
68.79967,2.16729,0.03304,1.4
68.78476,2.17974,0.03550,1.5
68.76977,2.19226,0.03798,1.6
68.75469,2.20484,0.04047,1.7
68.73953,2.21750,0.04297,1.8
68.72429,2.23022,0.04549,1.9
68.70896,2.24301,0.04803,2.0
68.69355,2.25587,0.05058,2.1
68.67805,2.26881,0.05314,2.2
68.66247,2.28181,0.05572,2.3
68.64680,2.29489,0.05831,2.4
68.63105,2.30803,0.06092,2.5
68.61521,2.32125,0.06354,2.6
68.59928,2.33454,0.06618,2.7
68.58327,2.34790,0.06883,2.8
68.56717,2.36133,0.07150,2.9
68.55097,2.37484,0.07418,3.0
68.53469,2.38842,0.07688,3.1
68.51833,2.40208,0.07960,3.2
68.50187,2.41581,0.08233,3.3
68.48532,2.42961,0.08507,3.4
68.46868,2.44349,0.08783,3.5
68.45195,2.45744,0.09061,3.6
68.43513,2.47147,0.09340,3.7
68.41821,2.48558,0.09621,3.8
68.40121,2.49976,0.09903,3.9
68.38411,2.51402,0.10188,4.0
68.36692,2.52835,0.10473,4.1
68.34963,2.54276,0.10761,4.2
68.33225,2.55725,0.11049,4.3
68.31478,2.57182,0.11340,4.4
68.29721,2.58647,0.11632,4.5
68.27954,2.60119,0.11926,4.6
68.26178,2.61600,0.12222,4.7
68.24392,2.63088,0.12519,4.8
68.22597,2.64585,0.12818,4.9
68.20792,2.66089,0.13119,5.0
68.18977,2.67602,0.13421,5.1
68.17152,2.69123,0.13725,5.2
68.15318,2.70651,0.14031,5.3
68.13473,2.72188,0.14339,5.4
68.11618,2.73734,0.14648,5.5
68.09754,2.75287,0.14959,5.6
68.07879,2.76849,0.15272,5.7
68.05994,2.78419,0.15586,5.8
68.04100,2.79998,0.15903,5.9
68.02194,2.81585,0.16221,6.0
68.00279,2.83180,0.16541,6.1
67.98353,2.84784,0.16863,6.2
67.96417,2.86396,0.17186,6.3
67.94471,2.88017,0.17512,6.4
67.92514,2.89647,0.17839,6.5
67.90546,2.91285,0.18168,6.6
67.88568,2.92932,0.18499,6.7
67.86580,2.94588,0.18832,6.8
67.84581,2.96253,0.19167,6.9
67.82571,2.97926,0.19504,7.0
67.80550,2.99608,0.19842,7.1
67.78518,3.01299,0.20183,7.2
67.76476,3.02999,0.20525,7.3
67.74423,3.04708,0.20869,7.4
67.72359,3.06426,0.21215,7.5
67.70283,3.08153,0.21564,7.6
67.68197,3.09889,0.21914,7.7
67.66100,3.11634,0.22266,7.8
67.63991,3.13389,0.22620,7.9
67.61871,3.15152,0.22976,8.0
67.59740,3.16925,0.23334,8.1
67.57598,3.18707,0.23695,8.2
67.55444,3.20499,0.24057,8.3
67.53279,3.22300,0.24421,8.4
67.51103,3.24110,0.24787,8.5
67.48915,3.25930,0.25155,8.6
67.46715,3.27759,0.25526,8.7
67.44504,3.29598,0.25898,8.8
67.42281,3.31447,0.26273,8.9
67.40046,3.33305,0.26649,9.0
67.37799,3.35172,0.27028,9.1
67.35541,3.37050,0.27409,9.2
67.33271,3.38937,0.27792,9.3
67.30989,3.40834,0.28177,9.4
67.28695,3.42741,0.28565,9.5
67.26388,3.44658,0.28954,9.6
67.24070,3.46584,0.29346,9.7
67.21740,3.48521,0.29740,9.8
67.19397,3.50467,0.30136,9.9
67.17042,3.52424,0.30534,10.0
67.14675,3.54391,0.30934,10.1
67.12295,3.56368,0.31337,10.2
67.09903,3.58355,0.31742,10.3
67.07499,3.60352,0.32149,10.4
67.05082,3.62360,0.32559,10.5
67.02652,3.64378,0.32971,10.6
67.00210,3.66406,0.33385,10.7
66.97755,3.68444,0.33801,10.8
66.95287,3.70494,0.34220,10.9
66.92806,3.72553,0.34641,11.0
66.90313,3.74623,0.35064,11.1
66.87806,3.76704,0.35490,11.2
66.85287,3.78795,0.35918,11.3
66.82755,3.80897,0.36348,11.4
66.80209,3.83010,0.36781,11.5
66.77651,3.85133,0.37216,11.6
66.75079,3.87267,0.37654,11.7
66.72494,3.89412,0.38094,11.8
66.69896,3.91568,0.38537,11.9
66.67284,3.93735,0.38982,12.0
66.64659,3.95912,0.39429,12.1
66.62020,3.98101,0.39879,12.2
66.59368,4.00301,0.40331,12.3
66.56702,4.02512,0.40786,12.4
66.54023,4.04734,0.41244,12.5
66.51330,4.06967,0.41703,12.6
66.48623,4.09211,0.42166,12.7
66.45902,4.11467,0.42631,12.8
66.43168,4.13734,0.43099,12.9
66.40419,4.16012,0.43569,13.0
66.37657,4.18302,0.44041,13.1
66.34880,4.20603,0.44517,13.2
66.32089,4.22916,0.44995,13.3
66.29285,4.25240,0.45475,13.4
66.26466,4.27576,0.45959,13.5
66.23632,4.29923,0.46444,13.6
66.20785,4.32282,0.46933,13.7
66.17923,4.34653,0.47424,13.8
66.15046,4.37036,0.47918,13.9
66.12155,4.39430,0.48415,14.0
66.09249,4.41836,0.48914,14.1
66.06329,4.44255,0.49416,14.2
66.03394,4.46685,0.49921,14.3
66.00445,4.49127,0.50429,14.4
65.97480,4.51581,0.50939,14.5
65.94501,4.54047,0.51452,14.6
